"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2013To31-Dec-2013 (Total-1328) (Total-1328)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1288,Chikmagalur,Tarikere,Green Gram (Moong)(Whole),Green (Whole),FAQ,5000,5000,5000,6-Mar-13
205,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,6-Mar-13
1218,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),Large,6200,6600,6400,6-Mar-13
204,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,7-Mar-13
584,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2401,5274,3800,8-Mar-13
845,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,3500,4479,3989,8-Mar-13
1071,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4111,4111,4111,8-Mar-13
455,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4500,4250,8-Mar-13
946,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4514,5214,5158,8-Mar-13
1020,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,5000,5823,5400,8-Mar-13
1217,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6100,6650,6375,8-Mar-13
203,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,8-Mar-13
401,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4021,4651,4351,9-Mar-13
779,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,4609,4756,4609,9-Mar-13
583,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2351,5304,5000,9-Mar-13
844,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,3841,3841,3841,11-Mar-13
202,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,11-Mar-13
1216,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6300,6500,6400,11-Mar-13
1305,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4269,4269,4269,12-Mar-13
400,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3871,4651,4461,12-Mar-13
1019,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6400,6200,12-Mar-13
1215,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6500,6350,12-Mar-13
201,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,12-Mar-13
399,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3821,4575,4275,13-Mar-13
661,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4801,5101,4925,13-Mar-13
1018,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6300,6150,13-Mar-13
200,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,13-Mar-13
1214,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),Large,6200,6650,6425,13-Mar-13
582,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2271,4801,4000,14-Mar-13
843,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,3779,4459,4119,14-Mar-13
1304,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4211,4211,4211,14-Mar-13
494,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6000,6000,14-Mar-13
1017,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6400,6200,14-Mar-13
199,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,14-Mar-13
945,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5108,5864,5714,15-Mar-13
581,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2411,6354,5800,15-Mar-13
1016,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6400,6200,15-Mar-13
887,Udupi,Kundapura,Green Gram (Moong)(Whole),Green (Whole),FAQ,6270,6300,6300,15-Mar-13
198,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,15-Mar-13
1213,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6600,6400,15-Mar-13
580,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2425,5309,4800,16-Mar-13
197,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,16-Mar-13
1212,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6650,6425,16-Mar-13
1303,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,3111,3431,3247,18-Mar-13
842,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,3829,4439,4134,18-Mar-13
398,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4550,4275,18-Mar-13
579,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2455,5360,4800,18-Mar-13
944,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5148,5148,5148,18-Mar-13
1015,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6600,6300,18-Mar-13
196,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,18-Mar-13
1211,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6600,6400,18-Mar-13
578,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2411,4889,4200,19-Mar-13
397,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,4025,4750,4351,19-Mar-13
1302,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4869,4869,4869,19-Mar-13
1209,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),Large,6200,6500,6350,19-Mar-13
1210,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6500,6350,19-Mar-13
195,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,19-Mar-13
1070,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3301,3301,3301,20-Mar-13
194,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,20-Mar-13
1208,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),Large,6200,6650,6425,20-Mar-13
841,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,3979,4415,4197,21-Mar-13
454,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4500,4250,21-Mar-13
705,Karwar(Uttar Kannad),Haliyala,Green Gram (Moong)(Whole),Green (Whole),FAQ,4800,5000,4900,21-Mar-13
193,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,21-Mar-13
1207,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6200,6650,6425,21-Mar-13
1301,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,4311,4311,4311,22-Mar-13
660,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4801,5101,4975,22-Mar-13
778,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,5409,5409,5409,22-Mar-13
943,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,5208,5868,5868,22-Mar-13
192,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5700,6700,6400,22-Mar-13
1206,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6250,6650,6450,22-Mar-13
577,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2401,5312,4600,23-Mar-13
659,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4811,5105,4951,23-Mar-13
191,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5500,6500,6350,23-Mar-13
1205,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6450,7150,6800,23-Mar-13
840,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,4011,4280,4145,25-Mar-13
1014,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,6000,6500,6250,25-Mar-13
190,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5500,6500,6350,25-Mar-13
1204,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6400,6850,6625,25-Mar-13
777,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,5509,5509,5509,26-Mar-13
189,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5500,6500,6350,26-Mar-13
188,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,5500,6500,6350,27-Mar-13
1203,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6400,6800,6600,27-Mar-13
493,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,6650,7200,6925,27-Mar-13
839,Koppal,Koppal,Green Gram (Moong)(Whole),Medium,FAQ,4129,4259,4194,28-Mar-13
1202,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,6400,6850,6625,28-Mar-13
187,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,6500,7400,6900,28-Mar-13
453,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4500,4250,30-Mar-13
576,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2355,5069,4500,30-Mar-13
492,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3210,5850,4530,30-Mar-13
704,Karwar(Uttar Kannad),Haliyala,Green Gram (Moong)(Whole),Green (Whole),FAQ,4900,4900,4900,30-Mar-13
658,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,4801,5075,4925,30-Mar-13
1201,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),Large,6400,6800,6600,30-Mar-13
186,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,6500,7400,6900,30-Mar-13
1069,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,2800,2800,1-Apr-13
396,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,3850,4200,3950,1-Apr-13
452,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,4000,4500,4250,1-Apr-13
