"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1658,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1050,1050,1050,9-Jan-12
1841,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,9-Jan-12
1946,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1032,1086,1086,9-Jan-12
2356,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,875,1200,1035,9-Jan-12
2437,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,975,900,9-Jan-12
262,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,955,955,955,10-Jan-12
595,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1250,1080,10-Jan-12
807,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1033,1226,1110,10-Jan-12
1027,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1080,1050,10-Jan-12
1329,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,925,1175,1026,10-Jan-12
1494,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,950,950,10-Jan-12
1504,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,985,985,985,10-Jan-12
1657,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1021,1060,1050,10-Jan-12
2092,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,986,1018,995,10-Jan-12
2355,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,860,1225,1040,10-Jan-12
2393,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1165,1165,1165,10-Jan-12
2436,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1011,900,10-Jan-12
261,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1020,1020,11-Jan-12
389,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1100,1480,1300,11-Jan-12
594,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1321,1150,11-Jan-12
806,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1115,1122,1122,11-Jan-12
1328,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,955,1152,1025,11-Jan-12
1420,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1060,1060,1060,11-Jan-12
1493,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,900,1025,975,11-Jan-12
1503,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,1001,0,0,11-Jan-12
1840,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,11-Jan-12
1945,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1106,1106,1106,11-Jan-12
2091,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1078,1075,11-Jan-12
2354,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1240,1070,11-Jan-12
2435,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1040,950,11-Jan-12
388,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1100,1480,1300,12-Jan-12
593,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1250,1100,12-Jan-12
805,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1200,1120,12-Jan-12
1419,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1000,1000,12-Jan-12
