"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
711,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1241,1266,1256,9-Jul-12
921,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,9-Jul-12
1198,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1071,1325,1255,9-Jul-12
1568,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1182,1212,1197,9-Jul-12
2216,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1160,1030,9-Jul-12
472,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1040,1076,1050,10-Jul-12
710,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,126,1266,1266,10-Jul-12
1197,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1101,1331,1211,10-Jul-12
1388,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1180,1180,1180,10-Jul-12
2215,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,905,1170,1035,10-Jul-12
471,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1060,1100,1070,11-Jul-12
709,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1316,1316,1316,11-Jul-12
920,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1150,1100,11-Jul-12
1196,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1125,1311,1225,11-Jul-12
2214,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,980,1075,1025,11-Jul-12
77,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Small,1000,1150,1115,12-Jul-12
78,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1150,1115,12-Jul-12
337,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1065,1275,1160,12-Jul-12
470,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1082,1101,1082,12-Jul-12
708,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1259,1290,1268,12-Jul-12
1195,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1151,1355,1271,12-Jul-12
1387,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1120,1130,1130,12-Jul-12
1567,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1225,1245,1235,12-Jul-12
1758,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1201,1091,12-Jul-12
2213,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,925,1125,1025,12-Jul-12
707,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1285,1285,1285,13-Jul-12
919,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1125,1100,13-Jul-12
1194,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1172,1351,1255,13-Jul-12
2212,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,895,1150,1020,13-Jul-12
469,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1040,1101,1070,14-Jul-12
1193,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1105,1375,1225,14-Jul-12
2211,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,935,1150,1040,14-Jul-12
1757,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1221,1221,1221,15-Jul-12
1989,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,1000,1200,1050,15-Jul-12
1990,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1000,1200,1050,15-Jul-12
75,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1100,1500,1400,16-Jul-12
76,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1100,1500,1400,16-Jul-12
336,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1065,1275,1160,16-Jul-12
468,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1050,1080,1070,16-Jul-12
918,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1150,1100,16-Jul-12
1192,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1205,1351,1301,16-Jul-12
1566,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1081,1286,1183,16-Jul-12
2210,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1005,1170,1085,16-Jul-12
2395,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,700,1150,1000,16-Jul-12
467,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1070,1140,1100,17-Jul-12
706,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1301,1362,1316,17-Jul-12
1191,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1201,1355,1295,17-Jul-12
1756,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,980,980,17-Jul-12
2209,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1175,1110,17-Jul-12
466,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1100,1160,1130,18-Jul-12
705,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1356,1393,1356,18-Jul-12
1190,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1211,1351,1301,18-Jul-12
1386,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1180,1180,1180,18-Jul-12
2208,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1180,1040,18-Jul-12
74,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1040,1200,1100,19-Jul-12
335,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1065,1275,1160,19-Jul-12
704,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1248,1320,1320,19-Jul-12
917,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1150,1140,19-Jul-12
1565,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1269,1290,1279,19-Jul-12
2207,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,1265,1105,19-Jul-12
465,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1140,1180,1160,20-Jul-12
916,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1150,1100,20-Jul-12
1189,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1105,1375,1251,20-Jul-12
2206,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,875,1205,1040,20-Jul-12
333,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,Large,1180,1400,1350,21-Jul-12
334,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,21-Jul-12
464,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1150,1240,1180,21-Jul-12
915,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1150,1100,21-Jul-12
1755,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1300,1140,21-Jul-12
2205,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,920,1235,1075,21-Jul-12
1754,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1300,1300,1300,22-Jul-12
1987,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,900,1200,1060,22-Jul-12
1988,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,900,1200,1060,22-Jul-12
72,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1200,1400,1300,23-Jul-12
73,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1400,1300,23-Jul-12
703,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1311,1381,1330,23-Jul-12
1753,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1000,1000,23-Jul-12
2204,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,1270,1110,23-Jul-12
702,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1331,1407,1350,24-Jul-12
914,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1250,1225,24-Jul-12
1188,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1201,1505,1351,24-Jul-12
1385,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1220,1220,1220,24-Jul-12
1564,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1290,1318,1304,24-Jul-12
2203,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1010,1275,1140,24-Jul-12
463,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1175,1300,1241,25-Jul-12
701,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1372,1388,1388,25-Jul-12
1187,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1225,1525,1495,25-Jul-12
1479,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1265,1265,1265,25-Jul-12
1563,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1290,1318,1304,25-Jul-12
1752,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1320,1320,1320,25-Jul-12
2202,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1030,1300,1165,25-Jul-12
70,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1200,1200,1200,26-Jul-12
71,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1200,1200,26-Jul-12
332,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,26-Jul-12
462,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1190,1251,1221,26-Jul-12
700,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1293,1403,1368,26-Jul-12
1186,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1255,1525,1505,26-Jul-12
1562,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1266,1303,1284,26-Jul-12
1751,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,26-Jul-12
2201,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,905,1285,1095,26-Jul-12
223,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1102,1102,1102,27-Jul-12
461,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1200,1270,1240,27-Jul-12
699,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1288,1378,1320,27-Jul-12
913,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1150,1250,1200,27-Jul-12
1185,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1305,1401,1355,27-Jul-12
2200,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1270,1185,27-Jul-12
331,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,28-Jul-12
460,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1200,1252,1225,28-Jul-12
1184,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1311,1405,1375,28-Jul-12
1750,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,28-Jul-12
2199,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,885,1265,1075,28-Jul-12
1749,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1300,1300,1300,29-Jul-12
1985,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Hybrid,Small,950,1300,1160,29-Jul-12
1986,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1300,1160,29-Jul-12
69,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1365,1365,1365,30-Jul-12
330,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,30-Jul-12
698,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1303,1340,1329,30-Jul-12
912,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1250,1225,30-Jul-12
1183,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1101,1375,1251,30-Jul-12
1561,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1209,1321,1265,30-Jul-12
1748,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1310,1310,1310,30-Jul-12
2198,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,910,1245,1075,30-Jul-12
459,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1200,1300,1250,31-Jul-12
697,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1282,1327,1303,31-Jul-12
1182,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1105,1351,1275,31-Jul-12
1747,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1300,1300,1300,31-Jul-12
2197,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1075,1275,1175,31-Jul-12
458,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1200,1250,1220,1-Aug-12
696,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1254,1375,1303,1-Aug-12
911,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,1-Aug-12
1181,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1101,1350,1275,1-Aug-12
2196,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1265,1130,1-Aug-12
329,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,2-Aug-12
695,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1232,1308,1278,2-Aug-12
1560,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1208,1242,1225,2-Aug-12
68,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1205,1260,1260,3-Aug-12
328,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,3-Aug-12
457,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1150,1299,1200,3-Aug-12
694,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1084,1388,1290,3-Aug-12
2195,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1335,1265,3-Aug-12
327,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,4-Aug-12
456,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1181,1230,1200,4-Aug-12
693,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1266,1329,1270,4-Aug-12
910,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1150,1250,1200,4-Aug-12
1180,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1303,1402,1351,4-Aug-12
1478,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1205,1205,1205,4-Aug-12
1512,Bagalkot,Jamakhandi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1365,1365,1365,4-Aug-12
2194,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,825,1325,1075,4-Aug-12
1746,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1250,1250,5-Aug-12
1983,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,3700,5129,4825,5-Aug-12
1984,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,3700,5129,4825,5-Aug-12
67,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1300,1500,1400,6-Aug-12
222,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1101,1101,1101,6-Aug-12
326,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,6-Aug-12
692,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1234,1372,1284,6-Aug-12
909,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,6-Aug-12
1559,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1169,1249,1209,6-Aug-12
1745,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1250,1250,6-Aug-12
2193,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1325,1235,6-Aug-12
455,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1180,1240,1200,7-Aug-12
691,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1253,1393,1277,7-Aug-12
908,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1150,1300,1200,7-Aug-12
1179,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1205,1455,1375,7-Aug-12
2192,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1355,1125,7-Aug-12
221,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1142,1142,1142,8-Aug-12
454,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1200,1230,1200,8-Aug-12
690,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1391,1256,8-Aug-12
1178,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1201,1411,1352,8-Aug-12
2191,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1350,1225,8-Aug-12
325,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,9-Aug-12
689,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1214,1373,1262,9-Aug-12
907,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1250,1225,9-Aug-12
1177,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1205,1475,1371,9-Aug-12
1558,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1006,1255,1130,9-Aug-12
1744,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1000,1000,9-Aug-12
2190,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1330,1265,9-Aug-12
66,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1200,1260,1210,10-Aug-12
324,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,10-Aug-12
453,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1180,1280,1230,10-Aug-12
688,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1263,1274,1274,10-Aug-12
906,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1225,1300,1250,10-Aug-12
452,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1180,1230,1190,11-Aug-12
1176,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1201,1405,1311,11-Aug-12
1743,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1240,1240,1240,12-Aug-12
1981,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,1100,1600,1300,12-Aug-12
1982,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1100,1600,1300,12-Aug-12
322,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,Large,1180,1400,1350,13-Aug-12
323,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,13-Aug-12
687,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1144,1377,1329,13-Aug-12
1175,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1205,1411,1325,13-Aug-12
2189,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1255,1255,1255,13-Aug-12
65,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1300,1500,1400,14-Aug-12
451,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1140,1250,1200,14-Aug-12
686,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1266,1340,1268,14-Aug-12
905,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1300,1275,14-Aug-12
1174,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1211,1425,1351,14-Aug-12
1742,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1240,1240,1240,14-Aug-12
2188,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1175,1280,1225,14-Aug-12
64,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1200,1200,1200,16-Aug-12
220,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1161,1161,1161,16-Aug-12
450,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1140,1160,1150,16-Aug-12
685,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1237,1385,1273,16-Aug-12
904,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,16-Aug-12
1173,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1201,1405,1311,16-Aug-12
1557,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1166,1256,1211,16-Aug-12
1741,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1240,1240,1240,16-Aug-12
2187,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1410,1130,16-Aug-12
321,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,17-Aug-12
903,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1300,1250,17-Aug-12
2186,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1110,1350,1230,17-Aug-12
219,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1211,1211,1211,18-Aug-12
2185,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1050,1325,1185,18-Aug-12
1740,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1250,1250,1250,19-Aug-12
1979,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,950,1260,1100,19-Aug-12
1980,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1260,1100,19-Aug-12
2184,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1170,1275,1220,20-Aug-12
63,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1400,1500,1400,21-Aug-12
320,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,21-Aug-12
449,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1150,1200,1180,21-Aug-12
684,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1260,1360,1282,21-Aug-12
1556,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1237,1271,1254,21-Aug-12
1739,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1240,1120,21-Aug-12
2081,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1130,1130,1130,21-Aug-12
2183,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,1000,1335,1165,21-Aug-12
319,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1180,1400,1350,22-Aug-12
683,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1313,1381,1349,22-Aug-12
