"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2017To31-Dec-2017 (Total-2572) (Total-2572)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2017,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1080,1500,1200,8-Nov-17
2284,Raichur,Manvi,Bajra(Pearl Millet/Cumbu),Other,Medium,1150,1150,1150,8-Nov-17
2345,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1146,1146,1146,8-Nov-17
2445,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,911,1030,1014,8-Nov-17
22,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Small,1029,1130,1130,9-Nov-17
140,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1035,1312,1095,9-Nov-17
300,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2000,2100,2050,9-Nov-17
488,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1105,1060,9-Nov-17
728,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1101,1355,1329,9-Nov-17
948,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1100,1050,9-Nov-17
1061,Gadag,Gadag,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,812,968,952,9-Nov-17
1160,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1052,1354,1175,9-Nov-17
1401,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1100,1100,1100,9-Nov-17
1523,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,920,1079,1050,9-Nov-17
