"Min,Max,Modal Price from Karnataka[Rice] from 01-Jan-2013To31-Dec-2013 (Total-5194) (Total-5194)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1640,Kolar,Chintamani,Rice,Broken Rice,FAQ,1650,1900,1800,10-May-13
1641,Kolar,Chintamani,Rice,Hansa,FAQ,2080,2510,2410,10-May-13
2179,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2200,2600,2450,10-May-13
2180,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4150,3875,10-May-13
2374,Chamrajnagar,Gundlupet,Rice,Broken Rice,FAQ,1325,2000,1665,10-May-13
2532,Hassan,Holenarsipura,Rice,Coarse,FAQ,2500,3000,2500,10-May-13
2712,Mysore,Hunsur,Rice,Medium,Medium,1800,1800,1800,10-May-13
2713,Mysore,Hunsur,Rice,Broken Rice,Medium,1200,1200,1200,10-May-13
3402,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,10-May-13
3403,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,10-May-13
3404,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,10-May-13
3948,Mysore,Mysore (Bandipalya),Rice,Fine,FAQ,4500,5000,4750,10-May-13
3949,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2000,2200,2100,10-May-13
3950,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1800,2000,1900,10-May-13
4494,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,10-May-13
4495,Shimoga,Shimoga,Rice,Fine,FAQ,3200,4200,4100,10-May-13
4496,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3200,2800,10-May-13
4497,Shimoga,Shimoga,Rice,Broken Rice,FAQ,1200,1250,1225,10-May-13
5092,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2200,4000,3000,10-May-13
670,Kolar,Bangarpet,Rice,Hansa,FAQ,2560,2850,2680,11-May-13
671,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1350,1620,1580,11-May-13
1190,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3200,4400,4150,11-May-13
1636,Kolar,Chintamani,Rice,Hansa,FAQ,2100,2500,2400,11-May-13
1637,Kolar,Chintamani,Rice,Broken Rice,FAQ,1650,1900,1800,11-May-13
1638,Kolar,Chintamani,Rice,Sona,FAQ,3600,4900,4650,11-May-13
2177,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4200,4000,11-May-13
2178,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2200,2600,2400,11-May-13
1633,Kolar,Chintamani,Rice,Sona,FAQ,3600,4850,4600,12-May-13
1634,Kolar,Chintamani,Rice,Broken Rice,FAQ,1650,1900,1800,12-May-13
1635,Kolar,Chintamani,Rice,Hansa,FAQ,2100,2500,2400,12-May-13
2660,Bellary,Hospet,Rice,Masuri,Medium,3000,3000,3000,12-May-13
3019,Chikmagalur,Koppa,Rice,Jaya,FAQ,1800,2100,2000,12-May-13
667,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3440,3850,3640,13-May-13
668,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1340,1620,1580,13-May-13
669,Kolar,Bangarpet,Rice,Hansa,FAQ,2580,2860,2640,13-May-13
1630,Kolar,Chintamani,Rice,Hansa,FAQ,2110,2520,2410,13-May-13
1631,Kolar,Chintamani,Rice,Broken Rice,FAQ,1640,1880,1810,13-May-13
1632,Kolar,Chintamani,Rice,Sona,FAQ,3610,4880,4650,13-May-13
5,Hassan,Arasikere,Rice,Medium,Medium,4000,4000,4000,14-May-13
219,Bangalore,Bangalore,Rice,Medium,FAQ,3500,3700,3600,14-May-13
220,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,14-May-13
221,Bangalore,Bangalore,Rice,Fine,FAQ,3800,4600,4000,14-May-13
665,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1440,1820,1620,14-May-13
666,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3540,3950,3700,14-May-13
956,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2800,2600,14-May-13
1627,Kolar,Chintamani,Rice,Sona,FAQ,3700,4900,4650,14-May-13
1628,Kolar,Chintamani,Rice,Broken Rice,FAQ,1700,1950,1850,14-May-13
1629,Kolar,Chintamani,Rice,Hansa,FAQ,2100,2500,2400,14-May-13
2175,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2600,2450,14-May-13
2176,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4000,3800,14-May-13
2422,Haveri,Hanagal,Rice,Coarse,Medium,1600,1600,1600,14-May-13
2443,Hassan,Hassan,Rice,Other,FAQ,1891,1891,1891,14-May-13
2856,Mysore,K.R.Nagar,Rice,Coarse,Medium,1466,1769,1737,14-May-13
2987,Chamrajnagar,Kollegal,Rice,Jaya,Medium,4800,4800,4800,14-May-13
3065,Dharwad,Kundagol,Rice,Medium,FAQ,2600,2600,2600,14-May-13
3162,Kolar,Malur,Rice,Sona,FAQ,3000,5000,4700,14-May-13
3399,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,14-May-13
3400,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,14-May-13
3401,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,14-May-13
3724,Chikmagalur,Moodigere,Rice,Govt. Quality,FAQ,2500,3400,3100,14-May-13
3944,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1900,2000,1950,14-May-13
3945,Mysore,Mysore (Bandipalya),Rice,Medium,FAQ,2500,3000,2750,14-May-13
3946,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2000,2500,2250,14-May-13
3947,Mysore,Mysore (Bandipalya),Rice,Fine,FAQ,4500,5000,4750,14-May-13
4491,Shimoga,Shimoga,Rice,Medium,FAQ,2300,3250,2775,14-May-13
4492,Shimoga,Shimoga,Rice,Fine,FAQ,3250,4250,4150,14-May-13
4493,Shimoga,Shimoga,Rice,Coarse,FAQ,2100,2300,2200,14-May-13
5091,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2200,4000,3000,14-May-13
216,Bangalore,Bangalore,Rice,Fine,FAQ,3800,4600,4000,15-May-13
217,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,15-May-13
218,Bangalore,Bangalore,Rice,Medium,FAQ,3500,3700,3600,15-May-13
663,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3540,3950,3700,15-May-13
664,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1440,1820,1620,15-May-13
955,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2900,2600,15-May-13
1382,Hassan,Channarayapatna,Rice,Coarse,FAQ,2000,2000,2000,15-May-13
1412,Chikmagalur,Chikkamagalore,Rice,Basumathi,FAQ,5900,6150,6027,15-May-13
2036,Tumkur,Gubbi,Rice,Sarbati Raw,FAQ,2100,2100,2100,15-May-13
2173,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4100,3850,15-May-13
2174,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2600,2400,15-May-13
2531,Hassan,Holenarsipura,Rice,Coarse,FAQ,1775,2000,1775,15-May-13
3064,Dharwad,Kundagol,Rice,Medium,FAQ,3000,3000,3000,15-May-13
3082,Udupi,Kundapura,Rice,CR 1009 (Coarse) Boiled,FAQ,2500,2500,2500,15-May-13
3161,Kolar,Malur,Rice,Sona,FAQ,2500,3000,2620,15-May-13
3396,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,15-May-13
3397,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,15-May-13
3398,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,15-May-13
3942,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2000,2500,2250,15-May-13
3943,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1900,2000,1950,15-May-13
4488,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,15-May-13
4489,Shimoga,Shimoga,Rice,Fine,FAQ,3250,4250,4150,15-May-13
4490,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3250,2825,15-May-13
5090,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2200,4000,3000,15-May-13
