"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2008To31-Dec-2008 (Total-2161) (Total-2161)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
897,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2701,2701,2701,19-Aug-08
1665,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3200,3100,19-Aug-08
2009,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3200,3200,19-Aug-08
1486,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1890,3840,3369,19-Aug-08
1315,Bagalkot,Hungund,Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3550,3400,19-Aug-08
1856,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3280,3510,3450,19-Aug-08
108,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2801,3875,3456,19-Aug-08
263,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,19-Aug-08
1005,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2375,4031,3930,19-Aug-08
688,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1555,1555,1555,20-Aug-08
1385,Bellary,Kottur,Green Gram (Moong)(Whole),Green (Whole),Medium,1600,3181,2391,20-Aug-08
777,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2200,2500,2400,20-Aug-08
491,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2451,2451,2451,20-Aug-08
1962,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2501,2501,2501,20-Aug-08
875,Gulbarga,Chittapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2355,2904,2799,20-Aug-08
107,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2405,3926,2800,20-Aug-08
1271,Tumkur,Huliyar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2850,2800,20-Aug-08
1205,Haveri,Hanagal,Green Gram (Moong)(Whole),Green (Whole),FAQ,2825,2830,2825,20-Aug-08
1314,Bagalkot,Hungund,Green Gram (Moong)(Whole),Green (Whole),FAQ,3100,3100,3100,20-Aug-08
2097,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2239,3619,3459,20-Aug-08
1619,Gadag,Mundaragi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3219,3484,3484,20-Aug-08
262,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,20-Aug-08
1855,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,2510,3672,3650,20-Aug-08
597,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3500,4000,3750,20-Aug-08
1004,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2401,4021,3920,20-Aug-08
1384,Bellary,Kottur,Green Gram (Moong)(Whole),Green (Whole),Medium,1961,3163,2031,21-Aug-08
687,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1701,2111,2050,21-Aug-08
1313,Bagalkot,Hungund,Green Gram (Moong)(Whole),Green (Whole),FAQ,2300,2400,2350,21-Aug-08
