"Min,Max,Modal Price from Karnataka[Jowar(Sorghum)] from 01-Jan-2012To31-Dec-2012 (Total-4954) (Total-4954)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1883,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3100,3600,3300,9-Jan-12
1999,Gulbarga,Chittapur,Jowar(Sorghum),Jowar ( White),FAQ,3150,3655,3150,9-Jan-12
2448,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1101,2713,1500,9-Jan-12
2769,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2901,3811,3514,9-Jan-12
2770,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,952,1856,1542,9-Jan-12
2915,Davangere,Harappana Halli,Jowar(Sorghum),Jowar Hybrid,FAQ,970,980,976,9-Jan-12
3096,Dharwad,Hubli (Amaragol),Jowar(Sorghum),Jowar ( White),FAQ,1431,3032,3003,9-Jan-12
3421,Koppal,Koppal,Jowar(Sorghum),Hybrid,FAQ,850,883,867,9-Jan-12
3448,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,946,1421,1101,9-Jan-12
3726,Gadag,Laxmeshwar,Jowar(Sorghum),Jowar ( White),FAQ,1868,2689,2060,9-Jan-12
3843,Mysore,Mysore (Bandipalya),Jowar(Sorghum),Local,FAQ,916,916,916,9-Jan-12
4265,Raichur,Raichur,Jowar(Sorghum),Jowar ( White),FAQ,2666,2666,2666,9-Jan-12
4266,Raichur,Raichur,Jowar(Sorghum),Jowar Hybrid,FAQ,977,1276,1136,9-Jan-12
767,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar ( White),FAQ,2400,2400,2400,10-Jan-12
768,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,1850,1850,1850,10-Jan-12
769,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1020,1250,1100,10-Jan-12
1313,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1266,1629,1441,10-Jan-12
1711,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2215,3850,3700,10-Jan-12
1882,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,3000,3700,3500,10-Jan-12
2447,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1111,2788,2400,10-Jan-12
2767,Gulbarga,Gulbarga,Jowar(Sorghum),Jowar ( White),FAQ,2801,4076,3611,10-Jan-12
2768,Gulbarga,Gulbarga,Jowar(Sorghum),Hybrid,FAQ,955,1811,1455,10-Jan-12
2914,Davangere,Harappana Halli,Jowar(Sorghum),Jowar Hybrid,FAQ,1015,1020,1018,10-Jan-12
2972,Bellary,Hoovinahadagali,Jowar(Sorghum),Jowar ( White),FAQ,1000,1000,1000,10-Jan-12
2980,Chitradurga,Hosadurga,Jowar(Sorghum),Hybrid,Medium,900,1000,970,10-Jan-12
3293,Bidar,Humanabad,Jowar(Sorghum),Jowar Hybrid,FAQ,950,1276,1176,10-Jan-12
3447,Bellary,Kottur,Jowar(Sorghum),Jowar Hybrid,Medium,989,1205,1001,10-Jan-12
3842,Mysore,Mysore (Bandipalya),Jowar(Sorghum),Local,FAQ,916,1002,950,10-Jan-12
3887,Belgaum,Nippani,Jowar(Sorghum),Local,FAQ,900,1000,1000,10-Jan-12
4712,Karwar(Uttar Kannad),Siddapur,Jowar(Sorghum),Other,FAQ,3350,4525,3935,10-Jan-12
4907,Raichur,Sindhanur,Jowar(Sorghum),Jowar ( White),Medium,3600,3600,3600,10-Jan-12
4908,Raichur,Sindhanur,Jowar(Sorghum),Jowar Hybrid,Medium,1350,1350,1350,10-Jan-12
353,Bangalore,Bangalore,Jowar(Sorghum),Jowar ( White),FAQ,1380,2800,2500,11-Jan-12
765,Bidar,Basava Kalayana,Jowar(Sorghum),Jowar (Yellow),FAQ,1980,1980,1980,11-Jan-12
766,Bidar,Basava Kalayana,Jowar(Sorghum),Hybrid,FAQ,1020,1250,1150,11-Jan-12
1056,Belgaum,Belgaum,Jowar(Sorghum),Jowar ( White),FAQ,2500,2900,2700,11-Jan-12
1312,Bellary,Bellary,Jowar(Sorghum),Jowar Hybrid,FAQ,1186,1577,1450,11-Jan-12
1346,Bidar,Bhalki,Jowar(Sorghum),Jowar Hybrid,Medium,1200,1400,1300,11-Jan-12
1710,Bidar,Bidar,Jowar(Sorghum),Jowar ( White),FAQ,2500,3815,3715,11-Jan-12
1881,Bijapur,Bijapur,Jowar(Sorghum),Jowar ( White),FAQ,2900,3600,3400,11-Jan-12
1998,Gulbarga,Chittapur,Jowar(Sorghum),Jowar ( White),FAQ,3400,3950,3600,11-Jan-12
2446,Gadag,Gadag,Jowar(Sorghum),Jowar ( White),FAQ,1121,2769,2400,11-Jan-12
