Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
4249,Amarawati,3250,3951,3600
4250,Amarawati,3450,4301,3875
4251,Amarawati,3081,3511,3296
4252,Amarawati,3850,4405,4125
4253,Amarawati,3581,4281,4066
4254,Amarawati,3350,3991,3670
4255,Amarawati,3751,4411,4081
4256,Buldhana,4100,5125,5125
4257,Buldhana,4500,5200,5200
4258,Buldhana,3750,5475,5475
4259,Buldhana,4200,4925,4925
4260,Buldhana,4850,5400,5400
4261,Buldhana,4525,5600,5600
4262,Buldhana,4700,5320,5320
4263,Buldhana,4865,5201,5201
4264,Buldhana,4500,5525,5525
4265,Buldhana,4875,5510,5510
4266,Buldhana,4905,5700,5700
4267,Buldhana,4900,5600,5600
4268,Buldhana,4701,5721,5721
4269,Buldhana,4500,5925,5925
4270,Buldhana,4600,5750,5750
4271,Buldhana,4500,5300,5300
4272,Buldhana,4500,5651,5651
4273,Buldhana,4550,5776,5776
4274,Buldhana,5000,5825,5825
4275,Buldhana,4200,5600,5600
4276,Buldhana,4300,5500,5500
4277,Buldhana,4100,5500,5500
4278,Buldhana,4200,6000,6000
4279,Buldhana,4200,5900,5900
4280,Buldhana,4150,5757,5757
4281,Buldhana,4000,5850,5850
4282,Buldhana,4100,5555,5555
4283,Buldhana,4850,5425,5425
4284,Buldhana,5000,5600,5600
4285,Buldhana,4500,5500,5500
4286,Buldhana,4200,5400,5400
4287,Buldhana,4100,5400,5400
4288,Buldhana,4150,5200,5200
4289,Buldhana,4050,5190,5190
4290,Buldhana,4100,5000,5000
4291,Buldhana,4200,4951,4951
4292,Buldhana,4300,5191,5191
4293,Buldhana,4200,5025,5025
4294,Buldhana,4375,5500,5500
4295,Buldhana,4300,5325,5325
4296,Buldhana,4261,5400,5400
4297,Buldhana,4100,5275,5275
4298,Buldhana,4201,5570,5570
4299,Buldhana,3900,5100,5100
4300,Buldhana,4000,5201,5201
4301,Buldhana,3950,5000,5000
4302,Buldhana,3800,5100,5100
4303,Buldhana,3900,5115,5115
4304,Buldhana,4025,5000,5000
4305,Buldhana,4000,5100,5100
4306,Buldhana,3951,5300,5300
4307,Buldhana,3800,5175,5175
4308,Buldhana,4150,5340,5340
4309,Buldhana,3950,5325,5325
4310,Buldhana,3670,4775,4775
4311,Buldhana,3705,5100,5100
4312,Buldhana,3501,4775,4775
4313,Buldhana,3700,5001,5001
4314,Buldhana,3500,4190,4190
4315,Buldhana,3177,4860,4860
4316,Buldhana,3700,4400,4400
4317,Buldhana,3737,5041,5041
4318,Buldhana,4000,4600,4600
4319,Buldhana,4000,5525,5525
4320,Buldhana,4000,4500,4500
4321,Buldhana,4000,4800,4800
4322,Buldhana,3800,4750,4750
4323,Buldhana,3700,4100,4100
4324,Buldhana,3800,4450,4450
4325,Buldhana,3750,4100,4100
4326,Buldhana,3800,4300,4300
4327,Buldhana,3900,4370,4370
4328,Buldhana,3500,4100,4100
4329,Buldhana,3100,3951,3951
4330,Buldhana,2900,3900,3900
4331,Buldhana,3200,4000,4000
4332,Buldhana,3650,4500,4500
4333,Buldhana,3000,4050,4050
4334,Buldhana,3615,3900,3900
4335,Buldhana,3450,4400,4400
4336,Buldhana,3800,4010,4010
4337,Buldhana,3800,4850,4850
4338,Buldhana,3100,3900,3900
4339,Buldhana,3375,4625,4625
4340,Buldhana,3200,4690,4690
4341,Buldhana,3800,4175,4175
4342,Buldhana,3800,4200,4200
4343,Buldhana,3800,4675,4675
