"Crop Production Statistics",,,,,
,,,,,
"State/Crop/District","Year","Season","Area (Hectare)","Production (Tonnes)","Yield (Tonnes/Hectare)"
"Karnataka",,,,,
"Jowar",,,,,
," 2013-14","Kharif     ",1724,994,0.58
,,"Summer     ",57,93,1.63
,,"Total",1781,1087,0.61
," 2014-15","Kharif     ",29,14,0.48
,,"Rabi       ",1593,1728,1.08
,,"Summer     ",452,955,2.11
,,"Total",2074,2697,1.30
," 2015-16","Summer     ",37,73,1.97
," 2016-17","Rabi       ",38,32,0.84
," 2018-19","Kharif     ",1871,2567,1.37
,,"Rabi       ",290,12,0.04
,,"Total",2161,2579,1.19
" 26.UDUPI"," 2018-19","Kharif     ",4,5,1.25
" 27.UTTARA KANNADA"," 2008-09","Kharif     ",64,85,1.33
,,"Rabi       ",2,2,1.00
,,"Total",66,87,1.32
," 2009-10","Kharif     ",36,36,1.00
,,"Rabi       ",2,1,0.50
,,"Total",38,37,0.97
," 2010-11","Kharif     ",19,30,1.58
,,"Rabi       ",2,1,0.50
,,"Total",21,31,1.48
," 2011-12","Kharif     ",3,4,1.33
,,"Summer     ",2,4,2.00
,,"Total",5,8,1.60
," 2012-13","Kharif     ",5,6,1.20
,,"Rabi       ",3,3,1.00
,,"Total",8,9,1.13
," 2013-14","Rabi       ",2,2,1.00
,,"Summer     ",2,3,1.50
,,"Total",4,5,1.25
," 2017-18","Rabi       ",2,2,1.00
," 2018-19","Kharif     ",73,100,1.37
" 28.VIJAYAPURA"," 2008-09","Kharif     ",343,715,2.08
,,"Rabi       ",226381,234211,1.03
,,"Total",226724,234926,1.04
," 2009-10","Kharif     ",43,45,1.05
,,"Rabi       ",200679,162018,0.81
,,"Total",200722,162063,0.81
," 2010-11","Rabi       ",190629,190910,1.00
," 2011-12","Rabi       ",167299,100039,0.60
," 2012-13","Rabi       ",232476,255747,1.10
," 2013-14","Rabi       ",165998,198542,1.20
